class,bin_left,bin_right,n,error_rate
Safe,0.30000000000000004,0.4,1,0.0
Safe,0.4,0.5,170,0.029411764705882353
Safe,0.5,0.6000000000000001,44,0.0
Trace,0.4,0.5,9,0.7777777777777778
Trace,0.5,0.6000000000000001,5,0.2
Contain,0.4,0.5,3,0.6666666666666666
Contain,0.5,0.6000000000000001,8,0.0
